int(self),self.cycle,highest_counter,faulty_transporter,faulty_transporter = highest_counter,average_com_range,init_com_radius,length(transporter),average_ties
80,1725,transporter(22),transporter(22),true,22.616190476189928,0.0,105,6.828571428571428
81,3867,transporter(21),transporter(22),false,31.5685714285721,0.0,105,8.895238095238096
82,7345,transporter(22),transporter(22),true,42.47999999999991,0.0,105,9.057142857142857
83,10242,transporter(22),transporter(22),true,53.09904761904751,0.0,105,11.485714285714286
84,4523,transporter(21),transporter(22),false,30.320952380952303,0.0,105,11.371428571428572
85,2140,transporter(22),transporter(22),true,21.25428571428523,0.0,105,7.6380952380952385
86,10246,transporter(22),transporter(22),true,21.42571428571429,0.0,105,9.428571428571429
87,1542,transporter(22),transporter(22),true,13.619047619047475,0.0,105,6.238095238095238
88,2235,transporter(22),transporter(22),true,19.99047619047554,0.0,105,8.971428571428572
89,9838,transporter(22),transporter(22),true,41.784761904761666,0.0,105,9.476190476190476
90,6779,transporter(22),transporter(22),true,52.86761904761889,0.0,105,11.752380952380953
91,2264,transporter(22),transporter(22),true,23.074285714284976,0.0,105,9.39047619047619
92,7209,transporter(22),transporter(22),true,42.626666666666615,0.0,105,10.466666666666667
93,7527,transporter(22),transporter(22),true,42.50476190476182,0.0,105,9.276190476190477
94,1618,transporter(21),transporter(22),false,15.119999999999791,0.0,105,6.266666666666667
95,1145,transporter(22),transporter(22),true,13.746666666666492,0.0,105,4.9904761904761905
96,10867,transporter(22),transporter(22),true,40.13142857142796,0.0,105,10.342857142857143
97,11597,transporter(22),transporter(22),true,21.425714285714285,0.0,105,8.285714285714286
98,3152,transporter(22),transporter(22),true,40.9104761904757,0.0,105,11.428571428571429
99,8729,transporter(22),transporter(22),true,42.23999999999986,0.0,105,9.59047619047619
100,10150,transporter(22),transporter(22),true,63.47428571428553,10.0,105,10.657142857142857
101,2188,transporter(22),transporter(22),true,12.888571428570966,10.0,105,7.6
102,1166,transporter(22),transporter(22),true,14.444761904761716,10.0,105,5.438095238095238
103,1024,transporter(22),transporter(22),true,10.371428571428435,10.0,105,4.904761904761905
104,8925,transporter(22),transporter(22),true,53.066666666666556,10.0,105,11.666666666666666
105,3220,transporter(22),transporter(22),true,33.105714285714,10.0,105,8.714285714285714
106,3496,transporter(21),transporter(22),false,19.491428571428965,10.0,105,8.666666666666666
107,16060,transporter(22),transporter(22),true,21.42571428571429,10.0,105,9.228571428571428
108,2769,transporter(22),transporter(22),true,18.810476190475775,10.0,105,9.238095238095237
109,1827,transporter(22),transporter(22),true,15.19047619047589,10.0,105,7.59047619047619
110,2111,transporter(22),transporter(22),true,29.18476190476098,10.0,105,8.942857142857143
111,1097,transporter(22),transporter(22),true,11.086666666666591,10.0,105,4.685714285714286
112,1306,transporter(21),transporter(22),false,11.116190476190326,10.0,105,6.057142857142857
113,5351,transporter(22),transporter(22),true,32.08476190476189,10.0,105,9.742857142857142
114,8365,transporter(22),transporter(22),true,51.85809523809484,10.0,105,9.60952380952381
115,2066,transporter(22),transporter(22),true,20.437142857142188,10.0,105,6.9523809523809526
116,1511,transporter(22),transporter(22),true,17.861904761904466,10.0,105,5.904761904761905
117,14531,transporter(22),transporter(22),true,30.632380952380608,10.0,105,13.18095238095238
118,8447,transporter(22),transporter(22),true,52.74761904761887,10.0,105,9.495238095238095
119,14488,transporter(22),transporter(22),true,32.065714285714265,10.0,105,9.733333333333333
120,1771,transporter(22),transporter(22),true,17.08666666666631,10.0,105,6.780952380952381
121,6959,transporter(22),transporter(22),true,32.12761904761905,10.0,105,7.20952380952381
122,4230,transporter(22),transporter(22),true,63.280952380952485,10.0,105,12.257142857142858
