int(self),self.cycle,highest_counter,faulty_transporter,faulty_transporter = highest_counter,average_com_range,init_com_radius,length(transporter),average_ties
105,2886,transporter(12),transporter(12),true,53.48999999999839,10.0,50,6.56
106,1323,transporter(12),transporter(12),true,28.52599999999932,10.0,50,5.24
107,1315,transporter(12),transporter(12),true,37.71199999999932,10.0,50,4.8
108,1968,transporter(12),transporter(12),true,42.63599999999877,10.0,50,6.22
109,2431,transporter(12),transporter(12),true,37.727999999998794,10.0,50,5.26
110,1568,transporter(12),transporter(12),true,35.891999999998895,10.0,50,5.44
111,2745,transporter(12),transporter(12),true,41.233999999998694,10.0,50,8.16
112,3028,transporter(12),transporter(12),true,45.66999999999968,10.0,50,6.26
113,2354,transporter(12),transporter(12),true,33.89799999999877,10.0,50,6.96
114,1548,transporter(12),transporter(12),true,29.735999999999255,10.0,50,4.54
115,2678,transporter(12),transporter(12),true,33.84799999999884,10.0,50,5.94
116,1710,transporter(12),transporter(12),true,27.479999999999126,10.0,50,5.74
117,1238,transporter(12),transporter(12),true,28.66599999999935,10.0,50,4.96
118,1661,transporter(12),transporter(12),true,31.72999999999914,10.0,50,5.14
119,1860,transporter(12),transporter(12),true,28.06199999999909,10.0,50,5.0
120,1651,transporter(12),transporter(12),true,36.44199999999887,10.0,50,5.8
121,2688,transporter(12),transporter(12),true,36.145999999998686,10.0,50,6.22
122,5204,transporter(12),transporter(12),true,82.11199999999991,10.0,50,7.18
123,1588,transporter(12),transporter(12),true,32.19999999999918,10.0,50,5.74
124,2791,transporter(12),transporter(12),true,28.27199999999958,10.0,50,7.28
125,2115,transporter(12),transporter(12),true,34.527999999998976,10.0,50,5.32
126,1607,transporter(12),transporter(12),true,35.793999999999166,10.0,50,6.76
127,2512,transporter(12),transporter(12),true,38.893999999998506,10.0,50,7.08
128,2307,transporter(12),transporter(12),true,55.429999999998046,10.0,50,7.36
129,1641,transporter(12),transporter(12),true,29.21599999999928,10.0,50,4.42
130,2596,transporter(12),transporter(12),true,38.88999999999858,10.0,50,5.98
131,1209,transporter(12),transporter(12),true,27.781999999999368,10.0,50,3.88
132,5166,transporter(12),transporter(12),true,37.49400000000001,10.0,50,5.38
133,4325,transporter(12),transporter(12),true,57.92800000000054,10.0,50,8.1
134,1809,transporter(12),transporter(12),true,32.70399999999956,10.0,50,5.18
135,1966,transporter(12),transporter(12),true,32.79799999999924,10.0,50,6.12
136,1953,transporter(12),transporter(12),true,30.639999999998945,10.0,50,5.42
137,1995,transporter(12),transporter(12),true,26.593999999999177,10.0,50,5.02
138,1714,transporter(12),transporter(12),true,20.137999999999444,10.0,50,5.28
139,1745,transporter(12),transporter(12),true,36.749999999998856,10.0,50,6.84
140,2547,transporter(12),transporter(12),true,39.235999999998526,10.0,50,5.88
141,2721,transporter(12),transporter(12),true,39.50999999999869,10.0,50,7.34
142,2355,transporter(12),transporter(12),true,41.79799999999857,10.0,50,6.74
143,2963,transporter(12),transporter(12),true,29.40999999999984,10.0,50,7.04
144,2534,transporter(12),transporter(12),true,40.75999999999886,10.0,50,5.6
145,2226,transporter(12),transporter(12),true,48.52999999999818,10.0,50,7.5
146,1609,transporter(12),transporter(12),true,17.507999999999484,10.0,50,4.72
147,1504,transporter(12),transporter(12),true,31.809999999999153,10.0,50,5.2
148,1780,transporter(12),transporter(12),true,35.9159999999989,10.0,50,5.0
149,2068,transporter(12),transporter(12),true,40.14399999999892,10.0,50,6.8
150,5380,transporter(12),transporter(12),true,40.10800000000002,10.0,50,5.56
