int(self),self.cycle,highest_counter,faulty_transporter,faulty_transporter = highest_counter,average_com_range,init_com_radius,length(transporter),average_ties
159,2080,transporter(22),transporter(22),true,27.191999999999144,10.0,50,5.0
160,3515,transporter(22),transporter(22),true,54.27800000000138,10.0,50,6.74
161,1467,transporter(22),transporter(22),true,31.815999999999136,10.0,50,5.62
162,1696,transporter(22),transporter(22),true,32.76199999999971,10.0,50,5.68
163,5923,transporter(22),transporter(22),true,36.05999999999983,10.0,50,5.66
164,1754,transporter(22),transporter(22),true,35.74399999999916,10.0,50,6.54
165,1171,transporter(22),transporter(22),true,25.65399999999974,10.0,50,4.56
166,2030,transporter(22),transporter(22),true,32.22399999999886,10.0,50,7.44
167,5381,transporter(22),transporter(22),true,59.86399999999997,10.0,50,5.86
168,2773,transporter(22),transporter(22),true,41.163999999998644,10.0,50,6.0
169,2487,transporter(22),transporter(22),true,38.66599999999849,10.0,50,7.14
170,1370,transporter(22),transporter(22),true,28.077999999999346,10.0,50,4.44
171,3255,transporter(22),transporter(22),true,64.23199999999953,10.0,50,6.74
172,1125,transporter(22),transporter(22),true,34.08599999999975,10.0,50,5.2
173,1144,transporter(22),transporter(22),true,35.03999999999946,10.0,50,4.84
174,1947,transporter(22),transporter(22),true,30.493999999998955,10.0,50,5.0
175,1072,transporter(22),transporter(22),true,19.123999999999665,10.0,50,4.02
176,1864,transporter(22),transporter(22),true,39.741999999998946,10.0,50,7.66
177,1717,transporter(22),transporter(22),true,25.343999999999546,10.0,50,6.68
178,1989,transporter(22),transporter(22),true,29.233999999999416,10.0,50,6.68
179,4130,transporter(22),transporter(22),true,44.95599999999891,10.0,50,6.0
180,1095,transporter(22),transporter(22),true,27.951999999999668,10.0,50,4.66
181,3684,transporter(22),transporter(22),true,89.1480000000011,10.0,50,6.98
182,1689,transporter(22),transporter(22),true,38.50799999999901,10.0,50,6.1
183,4835,transporter(22),transporter(22),true,52.183999999999415,10.0,50,5.76
184,2345,transporter(22),transporter(22),true,37.023999999999276,10.0,50,5.84
185,2720,transporter(22),transporter(22),true,23.69199999999924,10.0,50,7.1
186,1849,transporter(22),transporter(22),true,36.83599999999936,10.0,50,5.36
187,2211,transporter(22),transporter(22),true,36.61999999999886,10.0,50,6.5
188,3014,transporter(22),transporter(22),true,47.34599999999985,10.0,50,7.58
189,2055,transporter(22),transporter(22),true,24.487999999999293,10.0,50,6.46
190,1989,transporter(22),transporter(22),true,29.429999999999012,10.0,50,6.08
191,2537,transporter(22),transporter(22),true,37.49999999999855,10.0,50,5.48
192,2210,transporter(22),transporter(22),true,47.33199999999877,10.0,50,7.6
193,2269,transporter(22),transporter(22),true,35.7419999999988,10.0,50,7.66
